"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2017"	"2017"	"Enterocolitis due to Clostridium difficile"	"A04.7"	98	4874747	2.0
	"Alabama"	"01"	"2017"	"2017"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	40	4874747	0.8
	"Alabama"	"01"	"2017"	"2017"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	19	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	14	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Septicaemia, unspecified"	"A41.9"	988	4874747	20.3
	"Alabama"	"01"	"2017"	"2017"	"Bacterial infection, unspecified"	"A49.9"	25	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Chronic viral hepatitis C"	"B18.2"	58	4874747	1.2
	"Alabama"	"01"	"2017"	"2017"	"HIV disease resulting in multiple infections"	"B20.7"	11	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"HIV disease resulting in other specified conditions"	"B23.8"	16	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	20	4874747	0.4
	"Alabama"	"01"	"2017"	"2017"	"Unspecified mycosis"	"B49"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	14	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	33	4874747	0.7
	"Alabama"	"01"	"2017"	"2017"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	18	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of parotid gland"	"C07"	19	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	55	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	244	4874747	5.0
	"Alabama"	"01"	"2017"	"2017"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	166	4874747	3.4
	"Alabama"	"01"	"2017"	"2017"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Caecum - Malignant neoplasms"	"C18.0"	15	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Appendix - Malignant neoplasms"	"C18.1"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	13	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	737	4874747	15.1
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of rectosigmoid junction"	"C19"	58	4874747	1.2
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of rectum"	"C20"	100	4874747	2.1
	"Alabama"	"01"	"2017"	"2017"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	15	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	123	4874747	2.5
	"Alabama"	"01"	"2017"	"2017"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	73	4874747	1.5
	"Alabama"	"01"	"2017"	"2017"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	231	4874747	4.7
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of gallbladder"	"C23"	35	4874747	0.7
	"Alabama"	"01"	"2017"	"2017"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	17	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Head of pancreas - Malignant neoplasms"	"C25.0"	14	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	685	4874747	14.1
	"Alabama"	"01"	"2017"	"2017"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	26	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	67	4874747	1.4
	"Alabama"	"01"	"2017"	"2017"	"Main bronchus - Malignant neoplasms"	"C34.0"	11	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	55	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	25	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2854	4874747	58.5
	"Alabama"	"01"	"2017"	"2017"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	35	4874747	0.7
	"Alabama"	"01"	"2017"	"2017"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	125	4874747	2.6
	"Alabama"	"01"	"2017"	"2017"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	33	4874747	0.7
	"Alabama"	"01"	"2017"	"2017"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	37	4874747	0.8
	"Alabama"	"01"	"2017"	"2017"	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	52	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	694	4874747	14.2
	"Alabama"	"01"	"2017"	"2017"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	21	4874747	0.4
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of vagina"	"C52"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	88	4874747	1.8
	"Alabama"	"01"	"2017"	"2017"	"Endometrium - Malignant neoplasms"	"C54.1"	74	4874747	1.5
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of uterus, part unspecified"	"C55"	46	4874747	0.9
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of ovary"	"C56"	233	4874747	4.8
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of prostate"	"C61"	464	4874747	9.5
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	238	4874747	4.9
	"Alabama"	"01"	"2017"	"2017"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	241	4874747	4.9
	"Alabama"	"01"	"2017"	"2017"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	228	4874747	4.7
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm of thyroid gland"	"C73"	20	4874747	0.4
	"Alabama"	"01"	"2017"	"2017"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	11	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Head, face and neck - Malignant neoplasms"	"C76.0"	24	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	11	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	17	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	15	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	18	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	54	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasm without specification of site"	"C80"	532	4874747	10.9
	"Alabama"	"01"	"2017"	"2017"	"Hodgkin disease, unspecified"	"C81.9"	15	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	47	4874747	1.0
	"Alabama"	"01"	"2017"	"2017"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	14	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	37	4874747	0.8
	"Alabama"	"01"	"2017"	"2017"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	183	4874747	3.8
	"Alabama"	"01"	"2017"	"2017"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	208	4874747	4.3
	"Alabama"	"01"	"2017"	"2017"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	27	4874747	0.6
	"Alabama"	"01"	"2017"	"2017"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	52	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Lymphoid leukaemia, unspecified - Malignant neoplasms"	"C91.9"	13	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	123	4874747	2.5
	"Alabama"	"01"	"2017"	"2017"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	16	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	21	4874747	0.4
	"Alabama"	"01"	"2017"	"2017"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	58	4874747	1.2
	"Alabama"	"01"	"2017"	"2017"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	84	4874747	1.7
	"Alabama"	"01"	"2017"	"2017"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	17	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	102	4874747	2.1
	"Alabama"	"01"	"2017"	"2017"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	13	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Sickle-cell anaemia without crisis"	"D57.1"	12	4874747	Unreliable
