"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2016"	"2016"	"Enterocolitis due to Clostridium difficile"	"A04.7"	96	4863300	2.0
	"Alabama"	"01"	"2016"	"2016"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	36	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	25	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Septicaemia, unspecified"	"A41.9"	974	4863300	20.0
	"Alabama"	"01"	"2016"	"2016"	"Bacterial infection, unspecified"	"A49.9"	13	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Chronic viral hepatitis C"	"B18.2"	63	4863300	1.3
	"Alabama"	"01"	"2016"	"2016"	"HIV disease resulting in multiple infections"	"B20.7"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"HIV disease resulting in other specified conditions"	"B23.8"	19	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	21	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Candidal septicaemia"	"B37.7"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	44	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	15	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of parotid gland"	"C07"	15	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	23	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	55	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	233	4863300	4.8
	"Alabama"	"01"	"2016"	"2016"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	170	4863300	3.5
	"Alabama"	"01"	"2016"	"2016"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Caecum - Malignant neoplasms"	"C18.0"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Appendix - Malignant neoplasms"	"C18.1"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	687	4863300	14.1
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of rectosigmoid junction"	"C19"	44	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of rectum"	"C20"	97	4863300	2.0
	"Alabama"	"01"	"2016"	"2016"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	22	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	124	4863300	2.5
	"Alabama"	"01"	"2016"	"2016"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	96	4863300	2.0
	"Alabama"	"01"	"2016"	"2016"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	242	4863300	5.0
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of gallbladder"	"C23"	30	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Head of pancreas - Malignant neoplasms"	"C25.0"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	698	4863300	14.4
